StudentID,StudyHours,Attendance,AssignmentsCompleted,SleepHours,InternetHours,Age,PreviousGPA,cat__Scholarship_NO,cat__Scholarship_No,cat__Scholarship_No ,cat__Scholarship_SI,cat__Scholarship_SÍ ,cat__Scholarship_Sí,cat__Scholarship_si,cat__Program_ADMINISTRACIÓN ,cat__Program_Administracion,cat__Program_Administración,cat__Program_Contador Auditor,cat__Program_INGENIERÍA CIVIL,cat__Program_INGENIERÍA INFORMÁTICA,cat__Program_Ingenieria Informatica,cat__Program_Ingeniería Civil,cat__Program_Ingeniería Civil ,cat__Program_Ingeniería Industrial,cat__Program_Ingeniería Informática,cat__Program_Ingeniería informática ,remainder__Scholarship_Normalized,FinalGrade
STU-10522,-0.2805015711233395,-0.12033793408321182,-1.2163245983960256,-0.6303413156767643,-0.5701848956611659,-0.2,0.364583333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,3.96
STU-11352,0.29487813546978336,0.7743802214559926,0.7798933423269011,-0.2663240936911625,0.07889958870287704,0.6,0.3437500000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.37
STU-12298,1.8418697275553224,-0.3209473859978316,0.4057884152838188,-0.7234620003707549,-0.10467986142028675,0.8,-0.6770833333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.02
STU-13527,-1.214176333104121,-1.4804700180643342,-1.5844795464801722,-0.6049447653056756,-0.6652528251892328,-0.6,-0.9375000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,3.24
STU-13546,0.5730837078884362,-2.187618336063369,-0.03153503819795481,0.20774484656915518,0.9705712035868146,0.4,0.7916666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,4.97
STU-11738,-1.7178970286197124,-0.8926843239544983,-2.592257232649907,1.0796930759765253,1.9114158854680285,0.4,-0.30208333333333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,2.83
STU-11735,-0.6050747389451009,0.40726492445223733,-0.23383432280176852,1.2066758278319678,-0.8258848440470009,-1.0,-0.5937500000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,4.32
STU-10686,-1.5303190290344084,-1.1665162258179547,-2.0381654420990194,2.2551300823184035,0.5640738497426665,0.6,0.30208333333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,3.11
STU-14277,0.8555045162528262,-0.12334707586193122,-0.0025366468759287965,0.554831034974031,-1.5765936668720806,1.4,-0.3229166666666672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,3.73
STU-11715,0.5477922922140134,-1.1835680292306976,0.3842197415576775,-0.3679102951755165,-0.46200414826715874,1.4,0.3333333333333327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.24
